record_type,medium,rho_cells_mL,D_m2_s,Cinf_uM,Km_uM,q_mol_cell_s,q_factor,A10,A50,A90,A_dead_1e3,R10_um,R50_um,R90_um,Rdead_1e3_um,R_Da1_um,depletion_at_Da1,eta_at_Da1,planar_C_over_Cinf_1e3_um
factorial_sensitivity,oxygen,1000000000.0,1e-09,55.0,0.5,8.33e-19,1.0,0.2019831401298888,1.0156910607220897,1.8759194592243387,2.3937902677493805,115.48256031655848,258.9641577161801,351.93781893988944,397.5592773701405,256.95604792303624,0.49235956403281056,0.9941012757691957,428.35699595176095
factorial_sensitivity,oxygen,1000000000.0,1e-09,55.0,0.5,8.33e-18,10.0,0.2019831401298888,1.0156910607220897,1.8759194592243387,2.3937902677493805,36.518792062810036,81.89165707301972,111.29251026019966,125.71928214202796,81.25663699921729,0.49235956403281056,0.9941012757691957,135.45837588750908
factorial_sensitivity,oxygen,1000000000.0,1e-09,55.0,1.0,8.330000000000001e-20,0.1,0.20396810221332506,1.031389331241043,1.9515133656847432,2.8520112002272895,366.9779510916555,825.2207912800261,1135.127405643414,1372.2538483822045,812.5663699921729,0.4851010834987869,0.9886541801558159,1503.6930691222565
factorial_sensitivity,oxygen,1000000000.0,1e-09,55.0,1.0,8.33e-19,1.0,0.20396810221332506,1.031389331241043,1.9515133656847432,2.8520112002272895,116.04861765115064,260.95772729712996,358.9588036311058,433.94476888191326,256.95604792303624,0.4851010834987869,0.9886541801558159,475.50950002353386
factorial_sensitivity,oxygen,1000000000.0,1e-09,55.0,1.0,8.33e-18,10.0,0.20396810221332506,1.031389331241043,1.9515133656847432,2.8520112002272895,36.69779510916556,82.52207912800262,113.51274056434141,137.22538483822046,81.25663699921729,0.4851010834987869,0.9886541801558159,150.36930691222568
factorial_sensitivity,oxygen,1000000000.0,1e-09,55.0,5.0,8.330000000000001e-20,0.1,0.21983791777916606,1.1570221888581227,2.5772272229818745,6.893607056141229,380.98698950058264,874.0367387785565,1304.4733141843126,2133.448217691782,812.5663699921729,0.4371771592002206,0.9566088417092756,2237.899136777122
factorial_sensitivity,oxygen,1000000000.0,1e-09,55.0,5.0,8.33e-19,1.0,0.21983791777916606,1.1570221888581227,2.5772272229818745,6.893607056141229,120.47866457124974,276.3946853205855,412.510681973086,674.6555637932767,256.95604792303624,0.4371771592002206,0.9566088417092756,707.6858445940394
factorial_sensitivity,oxygen,1000000000.0,1e-09,55.0,5.0,8.33e-18,10.0,0.21983791777916606,1.1570221888581227,2.5772272229818745,6.893607056141229,38.098698950058264,87.40367387785567,130.44733141843128,213.3448217691782,81.25663699921729,0.4371771592002206,0.9566088417092756,223.78991367771224
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,0.1,8.330000000000001e-20,0.1,0.20436361387272087,1.0345279268959588,1.9676986374952832,2.9469561152411092,156.6315646462868,352.410312617112,486.02296635958015,594.7909248859331,346.47946433761854,0.48369175286437305,0.9876143734075993,652.3443366061583
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,0.1,8.33e-19,1.0,0.20436361387272087,1.0345279268959588,1.9676986374952832,2.9469561152411092,49.531249775817216,111.44192588020482,153.6939568847668,188.08940542376752,109.56642697819579,0.48369175286437305,0.9876143734075993,206.2893922387016
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,0.1,8.33e-18,10.0,0.20436361387272087,1.0345279268959588,1.9676986374952832,2.9469561152411092,15.663156464628681,35.2410312617112,48.60229663595801,59.47909248859332,34.64794643376185,0.48369175286437305,0.9876143734075993,65.23443366061584
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,0.5,8.330000000000001e-20,0.1,0.22181954594683673,1.1727386508102164,2.656640521202081,7.4119271781160725,163.18393644126064,375.21320882673785,564.7339482598655,943.2853100968056,346.47946433761854,0.43214701686656054,0.953647205634119,983.9942750645796
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,0.5,8.33e-19,1.0,0.22181954594683673,1.1727386508102164,2.656640521202081,7.4119271781160725,51.60329167065353,118.65283480728861,178.58455485208586,298.293006328413,109.56642697819579,0.43214701686656054,0.953647205634119,311.1663113770299
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,0.5,8.33e-18,10.0,0.22181954594683673,1.1727386508102164,2.656640521202081,7.4119271781160725,16.318393644126065,37.521320882673784,56.47339482598656,94.32853100968056,34.64794643376185,0.43214701686656054,0.953647205634119,98.39942750645795
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,1.0,8.330000000000001e-20,0.1,0.24364110921122342,1.3456837447979282,3.535307509271191,13.147707384714018,171.02231596598781,401.9286852701218,651.4650134719856,1256.3264817145046,346.47946433761854,0.3858533129950865,0.9300583252085581,1257.6150345329688
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,1.0,8.33e-19,1.0,0.24364110921122342,1.3456837447979282,3.535307509271191,13.147707384714018,54.08200491695012,127.10101024105536,206.0113258483752,397.2853167003716,109.56642697819579,0.3858533129950865,0.9300583252085581,397.6927928795492
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,1.0,8.33e-18,10.0,0.24364110921122342,1.3456837447979282,3.535307509271191,13.147707384714018,17.102231596598777,40.19286852701217,65.14650134719855,125.63264817145047,34.64794643376185,0.3858533129950865,0.9300583252085581,125.76150345329688
