run_id,seed,amplitude,t_s,source_age_s,release_weight,r50_um,r90_um,near_field_0_10_mean,profile_complete
SS_amp0_producer_s20260917,20260917,0.0,1440.0,1200.0,0.01831563888873418,28.732108404702178,37.250744420361634,9.787972775359468e-09,True
SS_amp0_producer_s20260917,20260917,0.0,1560.0,1320.0,0.012277339903068436,28.732108404702178,37.250744420361634,6.56107436137454e-09,True
SS_amp0_producer_s20260917,20260917,0.0,1680.0,1440.0,0.00822974704902003,28.732108404702178,37.250744420361634,4.398019667959835e-09,True
SS_amp15_producer_s20260911,20260911,15.0,360.0,120.0,0.6703200460356393,27.25681141991978,36.95096144614837,3.5466353812232978e-06,True
SS_amp15_producer_s20260911,20260911,15.0,480.0,240.0,0.44932896411722156,27.25681141991978,36.95096144614837,2.3773807920132286e-06,True
SS_amp15_producer_s20260911,20260911,15.0,600.0,360.0,0.30119421191220214,27.256811419919785,36.950961446148376,1.5936060019465516e-06,True
SS_amp15_producer_s20260911,20260911,15.0,720.0,480.0,0.20189651799465538,27.256811419919785,36.950961446148376,1.0682260485874837e-06,True
SS_amp15_producer_s20260911,20260911,15.0,840.0,600.0,0.1353352832366127,27.256811419919785,36.95096144614837,7.160533340656311e-07,True
SS_amp15_producer_s20260911,20260911,15.0,960.0,720.0,0.09071795328941251,27.256811419919778,36.95096144614837,4.799849038548468e-07,True
SS_amp15_producer_s20260911,20260911,15.0,1080.0,840.0,0.06081006262521797,27.256811419919785,36.95096144614837,3.217435028483928e-07,True
SS_amp15_producer_s20260911,20260911,15.0,1200.0,960.0,0.04076220397836621,27.25681141991979,36.950961446148376,2.1567111964100254e-07,True
SS_amp15_producer_s20260911,20260911,15.0,1320.0,1080.0,0.02732372244729256,27.256811419919785,36.950961446148376,1.4456867484631467e-07,True
SS_amp15_producer_s20260911,20260911,15.0,1440.0,1200.0,0.01831563888873418,27.25681141991978,36.95096144614837,9.690728077829304e-08,True
SS_amp15_producer_s20260911,20260911,15.0,1560.0,1320.0,0.012277339903068436,27.256811419919785,36.95096144614837,6.495889291249401e-08,True
SS_amp15_producer_s20260911,20260911,15.0,1680.0,1440.0,0.00822974704902003,27.256811419919785,36.950961446148376,4.354324808752717e-08,True
SS_amp15_producer_s20260913,20260913,15.0,360.0,120.0,0.6703200460356393,27.224243943531434,36.94627432965914,4.281041331755618e-06,True
SS_amp15_producer_s20260913,20260913,15.0,480.0,240.0,0.44932896411722156,27.22424394353143,36.94627432965914,2.8696678225829007e-06,True
SS_amp15_producer_s20260913,20260913,15.0,600.0,360.0,0.30119421191220214,27.22424394353143,36.94627432965913,1.9235958669407628e-06,True
SS_amp15_producer_s20260913,20260913,15.0,720.0,480.0,0.20189651799465538,27.224243943531434,36.94627432965914,1.289424870081698e-06,True
SS_amp15_producer_s20260913,20260913,15.0,840.0,600.0,0.1353352832366127,27.224243943531437,36.94627432965914,8.643273382726618e-07,True
SS_amp15_producer_s20260913,20260913,15.0,960.0,720.0,0.09071795328941251,27.224243943531437,36.94627432965914,5.793759411807922e-07,True
SS_amp15_producer_s20260913,20260913,15.0,1080.0,840.0,0.06081006262521797,27.224243943531434,36.94627432965914,3.8836730756425047e-07,True
SS_amp15_producer_s20260913,20260913,15.0,1200.0,960.0,0.04076220397836621,27.224243943531434,36.94627432965914,2.6033039148520577e-07,True
SS_amp15_producer_s20260913,20260913,15.0,1320.0,1080.0,0.02732372244729256,27.224243943531434,36.94627432965914,1.745046800048391e-07,True
SS_amp15_producer_s20260913,20260913,15.0,1440.0,1200.0,0.01831563888873418,27.224243943531434,36.94627432965914,1.1697398513427828e-07,True
SS_amp15_producer_s20260913,20260913,15.0,1560.0,1320.0,0.012277339903068436,27.22424394353143,36.94627432965914,7.841000710018156e-08,True
SS_amp15_producer_s20260913,20260913,15.0,1680.0,1440.0,0.00822974704902003,27.224243943531434,36.94627432965914,5.255979956904854e-08,True
SS_amp15_producer_s20260917,20260917,15.0,360.0,120.0,0.6703200460356393,27.24409218853811,36.948714997369315,3.7155537155316152e-06,True
SS_amp15_producer_s20260917,20260917,15.0,480.0,240.0,0.44932896411722156,27.24409218853811,36.948714997369315,2.490610137643043e-06,True
SS_amp15_producer_s20260917,20260917,15.0,600.0,360.0,0.30119421191220214,27.244092188538115,36.948714997369315,1.6695059021217143e-06,True
SS_amp15_producer_s20260917,20260917,15.0,720.0,480.0,0.20189651799465538,27.24409218853811,36.948714997369315,1.1191032731669995e-06,True
SS_amp15_producer_s20260917,20260917,15.0,840.0,600.0,0.1353352832366127,27.24409218853811,36.948714997369315,7.501573575879375e-07,True
SS_amp15_producer_s20260917,20260917,15.0,960.0,720.0,0.09071795328941251,27.24409218853811,36.948714997369315,5.028455144723197e-07,True
SS_amp15_producer_s20260917,20260917,15.0,1080.0,840.0,0.06081006262521797,27.244092188538115,36.948714997369315,3.370674284099001e-07,True
SS_amp15_producer_s20260917,20260917,15.0,1200.0,960.0,0.04076220397836621,27.244092188538115,36.94871499736932,2.259430541288388e-07,True
SS_amp15_producer_s20260917,20260917,15.0,1320.0,1080.0,0.02732372244729256,27.244092188538115,36.948714997369315,1.5145415844507615e-07,True
SS_amp15_producer_s20260917,20260917,15.0,1440.0,1200.0,0.01831563888873418,27.24409218853811,36.94871499736931,1.0152275846119251e-07,True
SS_amp15_producer_s20260917,20260917,15.0,1560.0,1320.0,0.012277339903068436,27.24409218853811,36.948714997369315,6.805274012537161e-08,True
SS_amp15_producer_s20260917,20260917,15.0,1680.0,1440.0,0.00822974704902003,27.244092188538115,36.948714997369315,4.5617115893690524e-08,True
SS_amp60_producer_s20260911,20260911,60.0,360.0,120.0,0.6703200460356393,25.488214749303765,36.51935134538214,1.255373909054626e-05,True
SS_amp60_producer_s20260911,20260911,60.0,480.0,240.0,0.44932896411722156,25.488214749303765,36.51935134538214,8.415022965094375e-06,True
SS_amp60_producer_s20260911,20260911,60.0,600.0,360.0,0.30119421191220214,25.48821474930376,36.519351345382134,5.640758581353022e-06,True
SS_amp60_producer_s20260911,20260911,60.0,720.0,480.0,0.20189651799465538,25.48821474930376,36.51935134538214,3.781113551928486e-06,True
SS_amp60_producer_s20260911,20260911,60.0,840.0,600.0,0.1353352832366127,25.488214749303765,36.51935134538214,2.5345562101946817e-06,True
SS_amp60_producer_s20260911,20260911,60.0,960.0,720.0,0.09071795328941251,25.488214749303765,36.51935134538214,1.698963835497614e-06,True
SS_amp60_producer_s20260911,20260911,60.0,1080.0,840.0,0.06081006262521797,25.488214749303765,36.51935134538214,1.1388495164236474e-06,True
SS_amp60_producer_s20260911,20260911,60.0,1200.0,960.0,0.04076220397836621,25.488214749303758,36.519351345382134,7.633936602767649e-07,True
SS_amp60_producer_s20260911,20260911,60.0,1320.0,1080.0,0.02732372244729256,25.488214749303765,36.51935134538214,5.117180735000362e-07,True
SS_amp60_producer_s20260911,20260911,60.0,1440.0,1200.0,0.01831563888873418,25.48821474930376,36.51935134538214,3.4301488258581294e-07,True
SS_amp60_producer_s20260911,20260911,60.0,1560.0,1320.0,0.012277339903068436,25.48821474930376,36.519351345382134,2.299297518858315e-07,True
SS_amp60_producer_s20260911,20260911,60.0,1680.0,1440.0,0.00822974704902003,25.48821474930376,36.519351345382134,1.5412652186907377e-07,True
SS_amp60_producer_s20260913,20260913,60.0,360.0,120.0,0.6703200460356393,25.437521467837072,36.510637744714174,1.529351428143128e-05,True
SS_amp60_producer_s20260913,20260913,60.0,480.0,240.0,0.44932896411722156,25.437521467837076,36.510637744714174,1.0251549197175722e-05,True
SS_amp60_producer_s20260913,20260913,60.0,600.0,360.0,0.30119421191220214,25.437521467837072,36.51063774471417,6.871818929787451e-06,True
SS_amp60_producer_s20260913,20260913,60.0,720.0,480.0,0.20189651799465538,25.437521467837076,36.510637744714174,4.606317981363701e-06,True
SS_amp60_producer_s20260913,20260913,60.0,840.0,600.0,0.1353352832366127,25.437521467837076,36.510637744714174,3.0877072813225092e-06,True
SS_amp60_producer_s20260913,20260913,60.0,960.0,720.0,0.09071795328941251,25.437521467837072,36.510637744714174,2.069752086960683e-06,True
SS_amp60_producer_s20260913,20260913,60.0,1080.0,840.0,0.06081006262521797,25.437521467837072,36.510637744714174,1.3873963142138456e-06,True
SS_amp60_producer_s20260913,20260913,60.0,1200.0,960.0,0.04076220397836621,25.437521467837076,36.510637744714174,9.299995612135014e-07,True
SS_amp60_producer_s20260913,20260913,60.0,1320.0,1080.0,0.02732372244729256,25.437521467837072,36.510637744714174,6.233973486857585e-07,True
SS_amp60_producer_s20260913,20260913,60.0,1440.0,1200.0,0.01831563888873418,25.437521467837076,36.510637744714174,4.1787573946953316e-07,True
SS_amp60_producer_s20260913,20260913,60.0,1560.0,1320.0,0.012277339903068436,25.437521467837076,36.510637744714174,2.801104849183942e-07,True
SS_amp60_producer_s20260913,20260913,60.0,1680.0,1440.0,0.00822974704902003,25.437521467837076,36.510637744714174,1.877636731455634e-07,True
SS_amp60_producer_s20260917,20260917,60.0,360.0,120.0,0.6703200460356393,25.468342560465473,36.51568415585381,1.3183811738734519e-05,True
SS_amp60_producer_s20260917,20260917,60.0,480.0,240.0,0.44932896411722156,25.468342560465466,36.515684155853805,8.837373291633724e-06,True
SS_amp60_producer_s20260917,20260917,60.0,600.0,360.0,0.30119421191220214,25.46834256046547,36.515684155853805,5.923868471682047e-06,True
SS_amp60_producer_s20260917,20260917,60.0,720.0,480.0,0.20189651799465538,25.46834256046547,36.51568415585381,3.970887786646982e-06,True
SS_amp60_producer_s20260917,20260917,60.0,840.0,600.0,0.1353352832366127,25.46834256046547,36.515684155853805,2.661765683947563e-06,True
SS_amp60_producer_s20260917,20260917,60.0,960.0,720.0,0.09071795328941251,25.468342560465466,36.515684155853805,1.7842348957998147e-06,True
SS_amp60_producer_s20260917,20260917,60.0,1080.0,840.0,0.06081006262521797,25.46834256046547,36.515684155853805,1.1960084174909263e-06,True
SS_amp60_producer_s20260917,20260917,60.0,1200.0,960.0,0.04076220397836621,25.468342560465466,36.515684155853805,8.0170841747153e-07,True
SS_amp60_producer_s20260917,20260917,60.0,1320.0,1080.0,0.02732372244729256,25.468342560465466,36.515684155853805,5.374012233066754e-07,True
SS_amp60_producer_s20260917,20260917,60.0,1440.0,1200.0,0.01831563888873418,25.468342560465462,36.515684155853805,3.6023081274653966e-07,True
SS_amp60_producer_s20260917,20260917,60.0,1560.0,1320.0,0.012277339903068436,25.468342560465466,36.515684155853805,2.414699349837161e-07,True
SS_amp60_producer_s20260917,20260917,60.0,1680.0,1440.0,0.00822974704902003,25.468342560465466,36.515684155853805,1.618621379345075e-07,True
